image_id,quality,height,width,nmae,nrmse
831,95,1356,2040,0.0014701537,0.0025734752
832,1,1356,2040,0.03081964,0.050162118
832,10,1356,2040,0.010401495,0.017670732
832,20,1356,2040,0.009858507,0.014165485
832,30,1356,2040,0.007567929,0.010559436
832,40,1356,2040,0.00714501,0.009602754
832,50,1356,2040,0.008320314,0.010202222
832,60,1356,2040,0.008096935,0.00995055
832,70,1356,2040,0.007777542,0.009093084
832,80,1356,2040,0.006923827,0.0081339935
832,95,1356,2040,0.0019424218,0.0027731054
833,1,1548,2040,0.035602532,0.056049414
833,10,1548,2040,0.011467836,0.01921658
833,20,1548,2040,0.013349206,0.017852515
833,30,1548,2040,0.011208551,0.015366122
833,40,1548,2040,0.010161463,0.013716663
833,50,1548,2040,0.008820024,0.012155747
833,60,1548,2040,0.0063455873,0.008595037
833,70,1548,2040,0.0045106704,0.006527077
833,80,1548,2040,0.002373818,0.004243943
833,95,1548,2040,0.0013800603,0.0025498571
834,1,1356,2040,0.015845519,0.034070767
834,10,1356,2040,0.0058451765,0.014947991
834,20,1356,2040,0.0037722539,0.010451988
834,30,1356,2040,0.002811064,0.00769039
834,40,1356,2040,0.0031613514,0.0076938295
834,50,1356,2040,0.0029811678,0.0067333453
834,60,1356,2040,0.0027206163,0.0065332362
834,70,1356,2040,0.002422559,0.0053726393
834,80,1356,2040,0.0015524596,0.0041299886
834,95,1356,2040,0.0011383758,0.0027764118
835,1,2040,1620,0.04181809,0.06417812
835,10,2040,1620,0.013841058,0.017098572
835,20,2040,1620,0.014868773,0.016125154
835,30,2040,1620,0.008589037,0.009845443
835,40,2040,1620,0.0071760733,0.007963535
835,50,2040,1620,0.0062851324,0.0068274396
835,60,2040,1620,0.0076696198,0.008319395
835,70,2040,1620,0.00378919,0.004450692
835,80,2040,1620,0.0040755626,0.0044763633
835,95,2040,1620,0.0013416072,0.0017981667
836,1,1536,2040,0.014492001,0.022375435
836,10,1536,2040,0.008276446,0.011928367
836,20,1536,2040,0.0078113275,0.010564735
836,30,1536,2040,0.007854948,0.01034936
836,40,1536,2040,0.0070027336,0.008622751
836,50,1536,2040,0.0071764123,0.008617834
836,60,1536,2040,0.0053005214,0.006552873
836,70,1536,2040,0.004275557,0.0054355627
836,80,1536,2040,0.003699143,0.0043809945
836,95,1536,2040,0.0006313804,0.0011100129
837,1,1356,2040,0.08346837,0.10186351
837,10,1356,2040,0.019739244,0.029430805
837,20,1356,2040,0.014052699,0.018468596
837,30,1356,2040,0.013436608,0.017066274
837,40,1356,2040,0.016314754,0.019484859
837,50,1356,2040,0.013436543,0.017176982
837,60,1356,2040,0.01305725,0.016023275
837,70,1356,2040,0.012735711,0.01582614
837,80,1356,2040,0.008432788,0.009744981
837,95,1356,2040,0.002872429,0.0038749913
838,1,1356,2040,0.119321525,0.15065275
838,10,1356,2040,0.0413517,0.052252635
838,20,1356,2040,0.024502523,0.028856225
838,30,1356,2040,0.01036976,0.015035593
838,40,1356,2040,0.0068105333,0.009977162
838,50,1356,2040,0.004808929,0.007325946
838,60,1356,2040,0.0049322816,0.007817155
838,70,1356,2040,0.007228031,0.009161381
838,80,1356,2040,0.004419599,0.006627865
838,95,1356,2040,0.0026895707,0.0042564403
839,1,1356,2040,0.06989192,0.08019034
839,10,1356,2040,0.03930988,0.053697843
839,20,1356,2040,0.030946016,0.03771919
839,30,1356,2040,0.034833264,0.046605635
